order,DS1_L_1,DS1_L_2,DS1_L_3,DS1_L_4,DS1_L_5,DS1_L_6,DS1_R_1,DS1_R_2,DS1_R_3,DS1_R_4,DS1_R_5,DS1_R_6,DS2_L_1,DS2_L_2,DS2_L_3,DS2_L_4,DS2_L_5,DS2_L_6,DS2_R_1,DS2_R_2,DS2_R_3,DS2_R_4,DS2_R_5,DS2_R_6,DS3_L_1,DS3_L_2,DS3_L_3,DS3_L_4,DS3_L_5,DS3_L_6,DS3_R_1,DS3_R_2,DS3_R_3,DS3_R_4,DS3_R_5,DS3_R_6
Bacillales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.082075537,0,0,0,0,0,0,0,0,0.003445721,0
Bacteroidales,2.342870016,0.028787235,4.243524802,8.497671657,16.82410941,0.025930841,0.02922932,0.076344943,0.003754952,0.15103126,0.078005506,0.237487765,0.329032949,0.206296667,0.27128952,0.235807083,0.183357102,0.108527132,0.141477302,0.21477585,0.157797986,0.136708861,0.10769639,0.100653422,0.421171048,0.609306531,0.133745002,0.213965139,2.807195911,0.252846736,0.526000615,0.130571741,0.0649551,0.098190252,0.180900367,0.129401348
Bifidobacteriales,0,0.001370821,0.001365355,0,0.001590331,0.003050687,0,0,0,0,0,0,0.016834244,0.398737588,0.016396619,0.011864507,0.00926046,0,0.006986533,0,0,0.016877637,0.007804086,0.006600224,0,0.006955554,0,0,0.004236211,0.010608954,0.016184634,0.014689321,0.011367142,0.020315225,0.013782885,0.011918545
Burkholderiales,0.021025757,0.001370821,0.001365355,0,0,0,0.25981618,0.301986665,0.439329366,0.364992212,0.201896604,0.195766941,0,0,0.001490602,0,0,0,0.057638901,0.056424164,0.043923151,0.027004219,0.043702883,0.047851627,0,0.001391111,0,0,0,0,0.097107806,0.16158253,0.128286322,0.142206572,0.29633203,0.279234489
Campylobacterales,0,0,0,0,0,0,0,0,0,0,0,0,0.006121543,0.007697637,0.005962407,0.026695141,0.007408368,0,0.0104798,0.001820134,0.003253567,0.028691983,0.024973076,0.018150617,0.030181639,0.006955554,0.008536915,0.020874648,0.009884493,0.014145272,0,0,0.003247755,0,0,0.010215896
Clostridiales,0.00150184,0.001370821,0.001365355,0.001562646,0.004770992,0,0.008119256,0.003393109,0.020652235,0.006292969,0.009177118,0.641858823,1.130955114,0.460318682,2.987165919,1.626920567,2.885559239,1.329105004,0.045412467,0.020021478,0.0195214,0.042194093,0.021851441,0.024750842,0.027437853,0.029213327,0.089637608,0.040009742,0.050834534,0.040667657,0.200689465,0.143628915,0.050340202,0.049095126,0.177454646,0.132806647
Corynebacteriales,0,0,0,0,0,0,0.165632815,0.030537977,0.028162139,0.022025392,0.041297033,0.250324941,0,0.001539527,0.001490602,0.001483063,0.001852092,0,0,0.003640269,0.008133917,0.015189873,0,0.023100785,0,2.876817138,0,0,0.00141207,0.003536318,0.00485539,0.011425027,0.009743265,0.015236418,0.196406113,0.011918545
Enterobacteriales,5.36306976,10.36888785,11.64102074,11.26980654,0.178117048,0.022880154,0.181871326,0.186620973,1.041999136,0.062929692,0.85041297,0.584091529,1.262568293,0.167808483,0.35625382,0.209111942,0.127794344,0.118393235,0.18688977,0.333084582,0.245644288,0.178902954,0.092088217,0.204606957,0.116610876,0.097377756,0.076832235,0.154820304,0.107317349,0.166206945,1.560198747,0.566354927,0.368620191,0.319964787,1.957169685,0.890485596
Legionellales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050430284,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005168582,0
Micrococcales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184637068,0,0,0,0,0,0.001650056,0,0,0,0,0,0,0,0,0,0.001692935,0,0
Pasteurellales,0,0,0,0,0,0,0,0,0.001877476,0,0,0,0.013773472,0,0.079001893,0.001483063,0.007408368,0,0,0,0,0,0,0,0,0.001391111,0,0,0,0,0.063120074,0.042435816,0.029229795,0.025394031,0.022397188,0.056187428
Pseudomonadales,0.018022077,7.273574689,0.068267774,1.962684002,0.012722646,7.320123858,0.003247702,0.001696554,0.001877476,0.022025392,0.1162435,0,0.007651929,0.004618582,0,1.707005992,0.014816736,0.00422833,0.057638901,0.001820134,0.001626783,0.003375527,0.001560817,0,0.598145201,0.001391111,0,0.005218662,5.967409416,0.694886484,0.173175587,0.093032365,0.042220815,0.067717415,0.153334597,0.078321869
Rhodospirillales,0,0,0,0,0,0,0,0,0,0,0,0,0.038259645,0,0,0,0,0,0,0,0,0.001687764,0,0,0,0,0,0,0,0,0.00485539,0,0.001623877,0.008464677,0.049962958,0.006810597
Xanthomonadales,0,0,0,0,0.001590331,0.012202749,0.224091455,0,0.206522351,0,0.067298868,0.075418412,0.003060772,0.001539527,0,0,0.003704184,0.005637773,0.003493267,0,0.001626783,0.003375527,0.003121634,0.001650056,0,0.002782222,0.004268458,0.003479108,0.00141207,0.001768159,0.012947707,0,0.001623877,0.08803264,0.010337164,0.008513247
