Newid,animal_parasites_or_symbionts,Group
DS1_L_1,7.411132504,Urban_soil
DS1_L_2,18.31898389,Urban_soil
DS1_L_3,16.80518808,Urban_soil
DS1_L_4,20.16062394,Urban_soil
DS1_L_5,17.21952318,Urban_soil
DS1_L_6,10.62928157,Urban_soil
DS2_L_1,6.100196137,Urban_soil
DS2_L_2,2.318533978,Urban_soil
DS2_L_3,7.521176861,Urban_soil
DS2_L_4,7.02079529,Urban_soil
DS2_L_5,14.00448143,Urban_soil
DS2_L_6,3.872778297,Urban_soil
DS3_L_1,1.897202172,Urban_soil
DS3_L_2,9.443501626,Urban_soil
DS3_L_3,0.759249034,Urban_soil
DS3_L_4,0.753565982,Urban_soil
DS3_L_5,5.266306606,Urban_soil
DS3_L_6,1.186344642,Urban_soil
SRR30663788,0.581346079,Field_soil
SRR30663789,0.946572645,Field_soil
SRR30663790,0.302676636,Field_soil
SRR30663791,2.639423199,Field_soil
SRR30663792,0.773040577,Field_soil
SRR30663793,1.947612855,Field_soil
SRR30663794,2.474135054,Field_soil
SRR30663795,0.512812409,Field_soil
SRR30663806,0.642797551,Field_soil
SRR30663807,0.333884795,Field_soil
SRR30663862,0.010523362,Field_soil
SRR30663863,0.024294589,Field_soil
SRR30663864,0.016128205,Field_soil
SRR30663865,2.127659574,Field_soil
SRR30663866,0.03912784,Field_soil
SRR30663869,4.032632402,Field_soil
SRR30663870,0.044808827,Field_soil
SRR30663874,1.486040532,Field_soil
SRR30663875,3.502387465,Field_soil
SRR30663876,1.605234484,Field_soil
SRR30663877,3.108484201,Field_soil
SRR30663878,0.162200404,Field_soil
SRR30663883,0.005330247,Field_soil
SRR30663884,0.007083658,Field_soil
SRR30663908,0.758872826,Field_soil
SRR30663909,0.316561828,Field_soil
SRR30663910,0.476044474,Field_soil
SRR30663911,1.206332494,Field_soil
SRR30663912,0.403814299,Field_soil
SRR30663918,0.453427065,Field_soil
SRR30663919,0.195730423,Field_soil
SRR30663920,2.030270407,Field_soil
SRR30663921,0.501982971,Field_soil
SRR30663922,0.929934044,Field_soil
SRR30663923,1.123681638,Field_soil
SRR30663924,1.879449384,Field_soil
SRR30663925,2.647671349,Field_soil
SRR30663926,0.993757883,Field_soil
SRR30663927,1.625789373,Field_soil
SRR30663936,2.369175935,Field_soil
SRR30663937,0.320016001,Field_soil
SRR30664010,0.364240184,Field_soil
SRR30664011,0.188253861,Field_soil
SRR30664012,1.490260086,Field_soil
SRR30664013,0.932838078,Field_soil
SRR30664014,0.913570039,Field_soil
SRR30664015,0.433669091,Field_soil
SRR30664016,1.557642332,Field_soil
SRR30664017,0.364154258,Field_soil
SRR30664028,1.819890041,Field_soil
SRR30664029,1.304750597,Field_soil
SRR30688664,0.494224068,Field_soil
SRR30688665,0.213415458,Field_soil
SRR30688666,0.32036807,Field_soil
SRR30688667,1.463960029,Field_soil
SRR30688668,0.208366483,Field_soil
SRR30688669,4.206709942,Field_soil
SRR30688670,0.215454453,Field_soil
SRR30688680,2.039540993,Field_soil
SRR30688681,2.744545149,Field_soil
